dataset,horizon,anomaly_type,forecast_metric,detection_metric,pearson_correlation,spearman_correlation,num_models
ETTh1,24,frozen,forecast_mae,average_precision,-0.8854072931091961,-0.6571428571428573,6
ETTh1,24,frozen,forecast_mae,oracle_best_f1,-0.8309163923318038,-0.6,6
ETTh1,24,frozen,forecast_mae,fixed_f1,-0.9744753760127508,-1.0,6
ETTh1,24,frozen,forecast_mae,event_recall,-0.8728811122924639,-0.7826908981308054,6
ETTh1,24,frozen,forecast_rmse,average_precision,-0.9462913214087858,-0.5428571428571429,6
ETTh1,24,frozen,forecast_rmse,oracle_best_f1,-0.8812006884417442,-0.3714285714285715,6
ETTh1,24,frozen,forecast_rmse,fixed_f1,-0.8627244525209778,-0.7714285714285715,6
ETTh1,24,frozen,forecast_rmse,event_recall,-0.6988234659198033,-0.5217939320872036,6
ETTh1,24,frozen,forecast_wape,average_precision,-0.8854071108236686,-0.6571428571428573,6
ETTh1,24,frozen,forecast_wape,oracle_best_f1,-0.830916280176049,-0.6,6
ETTh1,24,frozen,forecast_wape,fixed_f1,-0.9744754862070186,-1.0,6
ETTh1,24,frozen,forecast_wape,event_recall,-0.8728814478092072,-0.7826908981308054,6
ETTh1,24,level_shift,forecast_mae,average_precision,-0.9258574119640088,-0.6546536707079772,6
ETTh1,24,level_shift,forecast_mae,oracle_best_f1,-0.9258574119640088,-0.6546536707079772,6
ETTh1,24,level_shift,forecast_mae,fixed_f1,-0.7400146037832992,0.057977103565244846,6
ETTh1,24,level_shift,forecast_mae,event_recall,-0.925857411964009,-0.6546536707079772,6
ETTh1,24,level_shift,forecast_rmse,average_precision,-0.9609817812042055,-0.6546536707079772,6
ETTh1,24,level_shift,forecast_rmse,oracle_best_f1,-0.9609817812042055,-0.6546536707079772,6
ETTh1,24,level_shift,forecast_rmse,fixed_f1,-0.8737584311944351,-0.20291986247835697,6
ETTh1,24,level_shift,forecast_rmse,event_recall,-0.9609817812042056,-0.6546536707079772,6
ETTh1,24,level_shift,forecast_wape,average_precision,-0.925857315458267,-0.6546536707079772,6
ETTh1,24,level_shift,forecast_wape,oracle_best_f1,-0.925857315458267,-0.6546536707079772,6
