dataset,horizon,model,anomaly_type,injection_seed,forecast_mae,forecast_rmse,forecast_wape,average_precision,oracle_best_f1,fixed_f1,fixed_precision,fixed_recall,event_recall,mean_detection_delay
ETTh1,24,naive,spike,42,1.452306866645813,1.9645780531595525,18.456783294677734,1.0,0.9999999999995,0.6733668341708543,0.5075757575757576,1.0,1.0,0.0
ETTh1,24,naive,spike,2024,1.452306866645813,1.9645780531595525,18.456783294677734,1.0,0.9999999999995,0.6473429951690821,0.4785714285714286,1.0,1.0,0.0
ETTh1,24,naive,spike,3407,1.452306866645813,1.9645780531595525,18.456783294677734,1.0,0.9999999999995,0.6507177033492823,0.48226950354609927,1.0,1.0,0.0
ETTh1,24,naive,level_shift,42,1.452306866645813,1.9645780531595525,18.456783294677734,1.0,0.9999999999995,0.6754385964912281,0.5099337748344371,1.0,1.0,0.0
ETTh1,24,naive,level_shift,2024,1.452306866645813,1.9645780531595525,18.456783294677734,1.0000000000000002,0.9999999999995,0.6473429951690821,0.4785714285714286,1.0,1.0,0.0
ETTh1,24,naive,level_shift,3407,1.452306866645813,1.9645780531595525,18.456783294677734,1.0,0.9999999999995,0.6810344827586208,0.5163398692810458,1.0,1.0,0.0
ETTh1,24,naive,frozen,42,1.452306866645813,1.9645780531595525,18.456783294677734,0.04870945298286529,0.12525252525226255,0.05161290322580645,0.05128205128205128,0.05194805194805195,0.4,9.5
ETTh1,24,naive,frozen,2024,1.452306866645813,1.9645780531595525,18.456783294677734,0.06521135433684631,0.14334470989725817,0.09523809523809523,0.0875,0.1044776119402985,0.75,12.666666666666666
ETTh1,24,naive,frozen,3407,1.452306866645813,1.9645780531595525,18.456783294677734,0.03482642854160595,0.09505703422027705,0.012987012987012988,0.013333333333333334,0.012658227848101266,0.25,19.0
ETTh1,24,linear,spike,42,1.42744243144989,1.8933599567668216,18.140792846679688,1.0000000000000002,0.9999999999995,0.6473429951690821,0.4785714285714286,1.0,1.0,0.0
ETTh1,24,linear,spike,2024,1.42744243144989,1.8933599567668216,18.140792846679688,1.0000000000000002,0.9999999999995,0.6320754716981132,0.46206896551724136,1.0,1.0,0.0
ETTh1,24,linear,spike,3407,1.42744243144989,1.8933599567668216,18.140792846679688,0.9999999999999998,0.9999999999995,0.6355140186915887,0.4657534246575342,1.0,1.0,0.0
ETTh1,24,linear,level_shift,42,1.42744243144989,1.8933599567668216,18.140792846679688,1.0,0.9999999999995,0.6581196581196581,0.49044585987261147,1.0,1.0,0.0
ETTh1,24,linear,level_shift,2024,1.42744243144989,1.8933599567668216,18.140792846679688,1.0000000000000002,0.9999999999995,0.6261682242990654,0.4557823129251701,1.0,1.0,0.0
ETTh1,24,linear,level_shift,3407,1.42744243144989,1.8933599567668216,18.140792846679688,0.9999999999999999,0.9999999999995,0.6666666666666666,0.5,1.0,1.0,0.0
ETTh1,24,linear,frozen,42,1.42744243144989,1.8933599567668216,18.140792846679688,0.04943347816455518,0.12602739725994105,0.04968944099378882,0.047619047619047616,0.05194805194805195,0.4,9.5
ETTh1,24,linear,frozen,2024,1.42744243144989,1.8933599567668216,18.140792846679688,0.07806153189228429,0.16535433070827305,0.10322580645161292,0.09090909090909091,0.11940298507462686,0.5,9.0
ETTh1,24,linear,frozen,3407,1.42744243144989,1.8933599567668216,18.140792846679688,0.03791064662932286,0.08745247148263448,0.03726708074534161,0.036585365853658534,0.0379746835443038,0.25,3.0
ETTh1,24,nlinear,spike,42,1.4267959594726562,1.9139484605098216,18.13257598876953,1.0000000000000002,0.9999999999995,0.6536585365853659,0.4855072463768116,1.0,1.0,0.0
ETTh1,24,nlinear,spike,2024,1.4267959594726562,1.9139484605098216,18.13257598876953,1.0000000000000002,0.9999999999995,0.6291079812206573,0.4589041095890411,1.0,1.0,0.0
ETTh1,24,nlinear,spike,3407,1.4267959594726562,1.9139484605098216,18.13257598876953,0.9999999999999998,0.9999999999995,0.6296296296296297,0.4594594594594595,1.0,1.0,0.0
ETTh1,24,nlinear,level_shift,42,1.4267959594726562,1.9139484605098216,18.13257598876953,1.0,0.9999999999995,0.6581196581196581,0.49044585987261147,1.0,1.0,0.0
ETTh1,24,nlinear,level_shift,2024,1.4267959594726562,1.9139484605098216,18.13257598876953,1.0000000000000002,0.9999999999995,0.6261682242990654,0.4557823129251701,1.0,1.0,0.0
ETTh1,24,nlinear,level_shift,3407,1.4267959594726562,1.9139484605098216,18.13257598876953,0.9999999999999999,0.9999999999995,0.6666666666666666,0.5,1.0,1.0,0.0
ETTh1,24,nlinear,frozen,42,1.4267959594726562,1.9139484605098216,18.13257598876953,0.06995178375739827,0.19213973799082001,0.08536585365853659,0.08045977011494253,0.09090909090909091,0.6,7.333333333333333
ETTh1,24,nlinear,frozen,2024,1.4267959594726562,1.9139484605098216,18.13257598876953,0.07890512013964943,0.1603375527422105,0.09090909090909091,0.08045977011494253,0.1044776119402985,0.75,12.666666666666666
ETTh1,24,nlinear,frozen,3407,1.4267959594726562,1.9139484605098216,18.13257598876953,0.03886931039916908,0.09774436090183805,0.025,0.024691358024691357,0.02531645569620253,0.25,3.0
ETTh1,24,dlinear,spike,42,1.4418936967849731,1.9135986388863473,18.324447631835938,1.0000000000000002,0.9999999999995,0.6979166666666667,0.536,1.0,1.0,0.0
ETTh1,24,dlinear,spike,2024,1.4418936967849731,1.9135986388863473,18.324447631835938,1.0000000000000002,0.9999999999995,0.67,0.5037593984962406,1.0,1.0,0.0
ETTh1,24,dlinear,spike,3407,1.4418936967849731,1.9135986388863473,18.324447631835938,0.9999999999999998,0.9999999999995,0.6732673267326732,0.5074626865671642,1.0,1.0,0.0
ETTh1,24,dlinear,level_shift,42,1.4418936967849731,1.9135986388863473,18.324447631835938,1.0,0.9999999999995,0.6968325791855203,0.5347222222222222,1.0,1.0,0.0
ETTh1,24,dlinear,level_shift,2024,1.4418936967849731,1.9135986388863473,18.324447631835938,1.0000000000000002,0.9999999999995,0.6666666666666666,0.5,1.0,1.0,0.0
ETTh1,24,dlinear,level_shift,3407,1.4418936967849731,1.9135986388863473,18.324447631835938,0.9999999999999999,0.9999999999995,0.7022222222222222,0.541095890410959,1.0,1.0,0.0
ETTh1,24,dlinear,frozen,42,1.4418936967849731,1.9135986388863473,18.324447631835938,0.058722680983025716,0.14332247556965677,0.054054054054054064,0.056338028169014086,0.05194805194805195,0.6,11.333333333333334
ETTh1,24,dlinear,frozen,2024,1.4418936967849731,1.9135986388863473,18.324447631835938,0.06758191654169494,0.11874999999966891,0.11267605633802817,0.10666666666666667,0.11940298507462686,0.75,12.666666666666666
ETTh1,24,dlinear,frozen,3407,1.4418936967849731,1.9135986388863473,18.324447631835938,0.03292898519080648,0.07940446650106388,0.013605442176870748,0.014705882352941176,0.012658227848101266,0.25,4.0
ETTh1,24,lstm,spike,42,1.5865854024887085,2.1292737731072267,20.16327667236328,0.9989022569088992,0.9852941176465589,0.13888888888888887,1.0,0.07462686567164178,0.15625,0.4
ETTh1,24,lstm,spike,2024,1.5865854024887085,2.1292737731072267,20.16327667236328,0.9995577424554142,0.9925925925920926,0.13888888888888887,1.0,0.07462686567164178,0.09375,1.3333333333333333
ETTh1,24,lstm,spike,3407,1.5865854024887085,2.1292737731072267,20.16327667236328,0.9982838157052409,0.9784172661865504,0.028985507246376812,1.0,0.014705882352941176,0.030303030303030304,1.0
ETTh1,24,lstm,level_shift,42,1.5865854024887085,2.1292737731072267,20.16327667236328,0.9995025523547635,0.9871794871789873,0.025641025641025647,1.0,0.012987012987012988,0.2,17.0
ETTh1,24,lstm,level_shift,2024,1.5865854024887085,2.1292737731072267,20.16327667236328,0.9997805092186131,0.9925925925920926,0.0,0.0,0.0,0.0,
ETTh1,24,lstm,level_shift,3407,1.5865854024887085,2.1292737731072267,20.16327667236328,0.9993649354595782,0.9874999999995001,0.0,0.0,0.0,0.0,
ETTh1,24,lstm,frozen,42,1.5865854024887085,2.1292737731072267,20.16327667236328,0.03563705819404119,0.08963585434139837,0.0,0.0,0.0,0.0,
ETTh1,24,lstm,frozen,2024,1.5865854024887085,2.1292737731072267,20.16327667236328,0.022703725008951556,0.05185185185147871,0.0,0.0,0.0,0.0,
ETTh1,24,lstm,frozen,3407,1.5865854024887085,2.1292737731072267,20.16327667236328,0.02376375142143613,0.05295508274224488,0.0,0.0,0.0,0.0,
ETTh1,24,transformer,spike,42,1.4898529052734375,1.9346706281569288,18.933942794799805,0.999780509218613,0.9925925925920926,0.9305555555555556,0.8701298701298701,1.0,1.0,0.0
ETTh1,24,transformer,spike,2024,1.4898529052734375,1.9346706281569288,18.933942794799805,0.999780509218613,0.9925925925920926,0.9370629370629371,0.881578947368421,1.0,1.0,0.0
