dataset,model,input_type,horizon,seed,aggregation_method,anomaly_type,anomaly_ratio,magnitude_scale,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,validation_score_mean,validation_score_std,test_score_mean,test_score_std
ETTh1,nlinear,multivariate,24,42,first,spike,0.02,3.0,percentile,1.7860218639999996,67,71,3228,0,0.4855072463768116,1.0,0.6536585365853659,0.021521673234313428,0.9784783267656866,3366,67,138,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,spike,0.02,3.0,mean_std,1.6956210557618947,67,84,3215,0,0.44370860927152317,1.0,0.6146788990825688,0.025462261291300393,0.9745377387086996,3366,67,151,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,spike,0.02,3.0,iqr,1.4185841175,67,144,3155,0,0.3175355450236967,1.0,0.48201438848920863,0.04364959078508639,0.9563504092149137,3366,67,211,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,spike,0.02,3.0,mad,1.5722129060285002,67,103,3196,0,0.3941176470588235,1.0,0.5654008438818565,0.03122158229766596,0.9687784177023341,3366,67,170,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,level_shift,0.02,3.0,percentile,1.7860218639999996,77,80,3209,0,0.49044585987261147,1.0,0.6581196581196581,0.024323502584372148,0.9756764974156279,3366,77,157,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,level_shift,0.02,3.0,mean_std,1.6956210557618947,77,93,3196,0,0.45294117647058824,1.0,0.6234817813765182,0.028276071754332624,0.9717239282456673,3366,77,170,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,level_shift,0.02,3.0,iqr,1.4185841175,77,156,3133,0,0.33047210300429186,1.0,0.4967741935483871,0.04743083003952569,0.9525691699604744,3366,77,233,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,level_shift,0.02,3.0,mad,1.5722129060285002,77,113,3176,0,0.4052631578947368,1.0,0.5767790262172284,0.034356947400425664,0.9656430525995744,3366,77,190,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,frozen,0.02,3.0,percentile,1.7860218639999996,7,80,3209,70,0.08045977011494253,0.09090909090909091,0.08536585365853659,0.024323502584372148,0.9756764974156279,3366,77,87,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,frozen,0.02,3.0,mean_std,1.6956210557618947,11,93,3196,66,0.10576923076923077,0.14285714285714285,0.12154696132596683,0.028276071754332624,0.9717239282456673,3366,77,104,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
