dataset,model,input_type,horizon,model_seed,aggregation_method,anomaly_type,injection_seed,anomaly_ratio,magnitude_scale,detector_type,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,residual,percentile,1.7860218639999996,67,71,3228,0,0.4855072463768116,1.0,0.6536585365853659,0.021521673234313428,0.9784783267656866,3366,67,138
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,residual,mean_std,1.6956210557618947,67,84,3215,0,0.44370860927152317,1.0,0.6146788990825688,0.025462261291300393,0.9745377387086996,3366,67,151
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,residual,iqr,1.4185841175,67,144,3155,0,0.3175355450236967,1.0,0.48201438848920863,0.04364959078508639,0.9563504092149137,3366,67,211
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,residual,mad,1.5722129060285002,67,103,3196,0,0.3941176470588235,1.0,0.5654008438818565,0.03122158229766596,0.9687784177023341,3366,67,170
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,raw_zscore,percentile,2.588390364924154,47,1000,2299,20,0.044890162368672396,0.7014925373134329,0.0843806104129264,0.30312215822976657,0.6968778417702334,3366,67,1047
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,raw_zscore,mean_std,2.6496085647748084,46,955,2344,21,0.04595404595404595,0.6865671641791045,0.08614232209737827,0.2894816611094271,0.7105183388905729,3366,67,1001
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,raw_zscore,iqr,2.327711048654572,49,1287,2012,18,0.036676646706586824,0.7313432835820896,0.06985032074126872,0.3901182176417096,0.6098817823582904,3366,67,1336
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,raw_zscore,mad,2.4114464476877635,48,1225,2074,19,0.037706205813040065,0.7164179104477612,0.07164179104477612,0.3713246438314641,0.6286753561685359,3366,67,1273
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,diff_score,percentile,1.7589995530000004,37,96,3203,30,0.2781954887218045,0.5522388059701493,0.36999999999999994,0.029099727190057594,0.9709002728099424,3366,67,133
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,diff_score,mean_std,1.5985696494397563,37,124,3175,30,0.22981366459627328,0.5522388059701493,0.32456140350877194,0.037587147620491056,0.9624128523795089,3366,67,161
