dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,average_precision,roc_auc,oracle_best_f1,event_recall,mean_detection_delay
ETTh1,nlinear,24,first,drift,42,residual,0.8013826661598288,0.946543172075934,0.7853403141356268,1.0,4.0
ETTh1,nlinear,24,first,drift,42,raw_zscore,0.09246943015122691,0.49188303735456224,0.14723926380320673,0.3333333333333333,20.0
ETTh1,nlinear,24,first,drift,42,diff_score,0.031623077855457954,0.5427219840783833,0.07056229327442724,0.3333333333333333,0.0
ETTh1,nlinear,24,first,drift,42,rolling_zscore,0.06983008733382341,0.7919626454378444,0.15462610899851123,0.0,
ETTh1,nlinear,24,first,drift,42,flatness,0.018699638910232214,0.2746264543784446,0.05920663114263053,0.0,
ETTh1,nlinear,24,first,drift,2024,residual,0.8027621330426109,0.9474678641161274,0.7581699346400322,1.0,2.6666666666666665
ETTh1,nlinear,24,first,drift,2024,raw_zscore,0.042523106273804394,0.477719587903517,0.09333333333284613,0.6666666666666666,15.5
ETTh1,nlinear,24,first,drift,2024,diff_score,0.03121098268809183,0.5640036035657073,0.06961178045504426,0.3333333333333333,19.0
ETTh1,nlinear,24,first,drift,2024,rolling_zscore,0.04856225399297611,0.7100076067486232,0.11969532100091672,0.0,
ETTh1,nlinear,24,first,drift,2024,flatness,0.017572108640451382,0.32603506115194913,0.05170876671614576,0.0,
ETTh1,nlinear,24,first,drift,3407,residual,0.7809702653083891,0.941601556697662,0.7515151515146515,1.0,4.5
ETTh1,nlinear,24,first,drift,3407,raw_zscore,0.0176396029810085,0.37091701078399336,0.048472775564356065,1.0,16.5
ETTh1,nlinear,24,first,drift,3407,diff_score,0.03503283175862738,0.62998351207629,0.07579462102671447,0.5,27.0
ETTh1,nlinear,24,first,drift,3407,rolling_zscore,0.046875319284973696,0.7114316271055524,0.10708117443844425,0.0,
ETTh1,nlinear,24,first,drift,3407,flatness,0.01963184395968087,0.430453640711803,0.05141021063900064,0.0,
ETTh1,nlinear,24,first,noise_burst,42,residual,0.83954518034943,0.965981370855367,0.8031496062987163,1.0,0.125
ETTh1,nlinear,24,first,noise_burst,42,raw_zscore,0.2236688560541004,0.6228982869802587,0.27956989247273534,1.0,1.375
ETTh1,nlinear,24,first,noise_burst,42,diff_score,0.7379701763821764,0.9484907227914705,0.7377049180322954,1.0,0.125
ETTh1,nlinear,24,first,noise_burst,42,rolling_zscore,0.15959935498141065,0.7526077725468475,0.2987012987008041,1.0,0.375
ETTh1,nlinear,24,first,noise_burst,42,flatness,0.010991339836835784,0.11079461785637361,0.0403390821396857,0.0,
ETTh1,nlinear,24,first,noise_burst,2024,residual,0.8475728623950141,0.9697208737864077,0.839694656488052,1.0,0.0
ETTh1,nlinear,24,first,noise_burst,2024,raw_zscore,0.2694039381440388,0.6962075242718446,0.32692307692263683,1.0,1.0
ETTh1,nlinear,24,first,noise_burst,2024,diff_score,0.8534812624736169,0.9751777045769764,0.8153846153841182,1.0,0.0
ETTh1,nlinear,24,first,noise_burst,2024,rolling_zscore,0.1341045503884708,0.7250346740638003,0.26086956521691496,1.0,0.25
ETTh1,nlinear,24,first,noise_burst,2024,flatness,0.011075267096981327,0.10332004160887656,0.040887850467249666,0.0,
ETTh1,nlinear,24,first,noise_burst,3407,residual,0.814938063728997,0.9530035194368901,0.7837837837832841,1.0,0.125
ETTh1,nlinear,24,first,noise_burst,3407,raw_zscore,0.3182372884203148,0.6626179811230203,0.37894736842073257,1.0,0.75
ETTh1,nlinear,24,first,noise_burst,3407,diff_score,0.8298168500361387,0.9692169252919534,0.8194444444439459,1.0,0.125
ETTh1,nlinear,24,first,noise_burst,3407,rolling_zscore,0.14010904646350203,0.7091545352743561,0.2753623188400849,1.0,1.0
ETTh1,nlinear,24,first,noise_burst,3407,flatness,0.012075983238049544,0.09978403455447127,0.04436660828950711,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,42,residual,0.07275349352735806,0.7024911847046234,0.19310344827547207,0.6,8.333333333333334
ETTh1,nlinear,24,first,stuck_with_jitter,42,raw_zscore,0.02657262078481915,0.5503113487303211,0.06763285024142958,0.6,0.6666666666666666
