dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,num_true_events,num_detected_events,event_recall,mean_detection_delay,median_detection_delay,max_detection_delay
ETTh1,nlinear,24,first,spike,42,residual,percentile,1.7860218639999996,67,71,3228,0,0.4855072463768116,1.0,0.6536585365853659,0.021521673234313428,0.9784783267656866,3366,67,138,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,flatness,percentile,790003.6009387329,1,24,3275,66,0.04,0.014925373134328358,0.021739130434782608,0.007274931797514398,0.9927250682024856,3366,67,25,32,1,0.03125,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,hybrid_rankmax,percentile,1.0,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,42,hybrid_or,percentile,,67,94,3205,0,0.4161490683229814,1.0,0.5877192982456141,0.02849348287359806,0.9715065171264019,3366,67,161,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,residual,mean_std,1.6956210557618947,67,84,3215,0,0.44370860927152317,1.0,0.6146788990825688,0.025462261291300393,0.9745377387086996,3366,67,151,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,flatness,mean_std,315997.1069870756,1,24,3275,66,0.04,0.014925373134328358,0.021739130434782608,0.007274931797514398,0.9927250682024856,3366,67,25,32,1,0.03125,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,hybrid_rankmax,mean_std,1.371334843858064,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,42,hybrid_or,mean_std,,67,107,3192,0,0.3850574712643678,1.0,0.5560165975103735,0.03243407093058503,0.967565929069415,3366,67,174,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,residual,iqr,1.4185841175,67,144,3155,0,0.3175355450236967,1.0,0.48201438848920863,0.04364959078508639,0.9563504092149137,3366,67,211,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,flatness,iqr,4.285812514580129,1,123,3176,66,0.008064516129032258,0.014925373134328358,0.010471204188481674,0.03728402546226129,0.9627159745377387,3366,67,124,32,1,0.03125,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,hybrid_rankmax,iqr,1.404516029593095,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,42,hybrid_or,iqr,,67,264,3035,0,0.20241691842900303,1.0,0.33668341708542715,0.08002424977265839,0.9199757502273416,3366,67,331,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,residual,mad,1.5722129060285002,67,103,3196,0,0.3941176470588235,1.0,0.5654008438818565,0.03122158229766596,0.9687784177023341,3366,67,170,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,flatness,mad,4.876898015025185,1,86,3213,66,0.011494252873563218,0.014925373134328358,0.012987012987012986,0.026068505607759928,0.97393149439224,3366,67,87,32,1,0.03125,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,42,hybrid_rankmax,mad,1.6084176633785456,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,42,hybrid_or,mad,,67,187,3112,0,0.2637795275590551,1.0,0.4174454828660436,0.05668384358896635,0.9433161564110336,3366,67,254,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,2024,residual,percentile,1.7860218639999996,67,79,3220,0,0.4589041095890411,1.0,0.6291079812206573,0.023946650500151562,0.9760533494998485,3366,67,146,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,2024,flatness,percentile,790003.6009387329,0,26,3273,67,0.0,0.0,0.0,0.007881176113973931,0.992118823886026,3366,67,26,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,2024,hybrid_rankmax,percentile,1.0,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,2024,hybrid_or,percentile,,67,103,3196,0,0.3941176470588235,1.0,0.5654008438818565,0.03122158229766596,0.9687784177023341,3366,67,170,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,2024,residual,mean_std,1.6956210557618947,67,91,3208,0,0.4240506329113924,1.0,0.5955555555555555,0.02758411639890876,0.9724158836010912,3366,67,158,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,2024,flatness,mean_std,315997.1069870756,0,26,3273,67,0.0,0.0,0.0,0.007881176113973931,0.992118823886026,3366,67,26,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,2024,hybrid_rankmax,mean_std,1.371334843858064,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,2024,hybrid_or,mean_std,,67,115,3184,0,0.36813186813186816,1.0,0.5381526104417671,0.03485904819642316,0.9651409518035768,3366,67,182,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,2024,residual,iqr,1.4185841175,67,154,3145,0,0.3031674208144796,1.0,0.46527777777777773,0.046680812367384056,0.9533191876326159,3366,67,221,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,2024,flatness,iqr,4.285812514580129,0,124,3175,67,0.0,0.0,0.0,0.037587147620491056,0.9624128523795089,3366,67,124,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,2024,hybrid_rankmax,iqr,1.404516029593095,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,2024,hybrid_or,iqr,,67,274,3025,0,0.19648093841642228,1.0,0.3284313725490196,0.08305547135495604,0.9169445286450439,3366,67,341,32,32,1.0,0.0,0.0,0.0
