detector_type,anomaly_type,mean_precision,mean_recall,mean_f1,mean_fpr,mean_event_recall,num_runs
flatness,frozen,0.24655632924195015,0.3431221815739103,0.2646851329056114,0.02463242278371953,0.8125,144
flatness,level_shift,0.004824969866443926,0.007865655481216914,0.005728732577920129,0.023034560450852046,0.06770833333333333,144
flatness,spike,0.009192351137910167,0.00785395274268046,0.0066914960807819375,0.021551263588101846,0.01631549873737374,144
hybrid_or,frozen,0.16669489141487445,0.4459669314516912,0.2281799028416793,0.05844879857533394,0.8569444444444445,144
hybrid_or,level_shift,0.3714835324083432,0.9968519584025913,0.5165648203364893,0.05686781751195383,1.0,144
hybrid_or,spike,0.34634645273378195,0.9817863739698779,0.4852020556532237,0.054878463579376396,0.985479797979798,144
hybrid_rankmax,frozen,0.016050386549560727,0.02075209123433193,0.01808473200058294,0.0007570746486301193,0.041666666666666664,144
hybrid_rankmax,level_shift,0.024078175584276343,0.041666666666666664,0.03051203011927122,0.0007009919761858629,0.041666666666666664,144
hybrid_rankmax,spike,0.023789490693624182,0.041666666666666664,0.03028163998174269,0.0006542657616144726,0.041666666666666664,144
residual,frozen,0.09850161716343266,0.18132284488596284,0.12025548431070027,0.035045918781085865,0.4340277777777778,144
residual,level_shift,0.4971940499170058,0.9968519584025913,0.6379274683760994,0.035045918781085865,1.0,144
residual,spike,0.46740923571348464,0.9814800014208581,0.6036954423801022,0.03443869230467812,0.9848484848484849,144
