dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,pr_auc,roc_auc,best_f1,best_f1_threshold,f1_at_fpr_1pct,recall_at_fpr_1pct,f1_at_fpr_2pct,recall_at_fpr_2pct,f1_at_fpr_5pct,recall_at_fpr_5pct
ETTh1,nlinear,24,first,spike,42,residual,1.0000000000000002,1.0,0.9999999999995,6.7492036106205475,0.8072289156621691,1.0,0.6733668341704075,1.0,0.44966442952985275,1.0
ETTh1,nlinear,24,first,spike,42,flatness,0.013820635021609799,0.2940352797998489,0.039215686274471355,0.1607099734394867,0.0199999999995578,0.014925373134328358,0.015037593984462434,0.014925373134328358,0.008620689654761631,0.014925373134328358
ETTh1,nlinear,24,first,spike,42,hybrid_rankmax,0.6568627450980392,0.9946953622309791,0.7928994082835451,1.0,0.5652173913038482,0.582089552238806,0.6733668341704075,1.0,0.44966442952985275,1.0
ETTh1,nlinear,24,first,spike,2024,residual,1.0000000000000002,1.0,0.9999999999995,8.260781260620547,0.8072289156621691,1.0,0.6733668341704075,1.0,0.44966442952985275,1.0
ETTh1,nlinear,24,first,spike,2024,flatness,0.013421341021656987,0.2942908977392516,0.039532794249736054,0.218772850674145,0.0,0.0,0.0,0.0,0.008620689654761631,0.014925373134328358
ETTh1,nlinear,24,first,spike,2024,hybrid_rankmax,0.6320754716981132,0.9940891179145196,0.7745664739879646,1.0,0.7058823529406841,0.8059701492537313,0.6733668341704075,1.0,0.44966442952985275,1.0
ETTh1,nlinear,24,first,spike,3407,residual,0.9999999999999998,1.0,0.9999999999995,8.479899360620546,0.8095238095233276,1.0,0.6766169154224378,1.0,0.4533333333329827,1.0
ETTh1,nlinear,24,first,spike,3407,flatness,0.014446528282946566,0.30907100560054224,0.04003532528697872,0.20025737700683544,0.0,0.0,0.014925373133828471,0.014705882352941176,0.00858369098671112,0.014705882352941176
ETTh1,nlinear,24,first,spike,3407,hybrid_rankmax,0.6666666666666666,0.9948453608247423,0.79999999999952,1.0,0.6754966887412266,0.75,0.6766169154224378,1.0,0.4533333333329827,1.0
ETTh1,nlinear,24,first,level_shift,42,residual,1.0,1.0,0.9999999999995,8.670477760620546,0.8279569892468266,1.0,0.7031963470315076,1.0,0.48427672955938134,1.0
ETTh1,nlinear,24,first,level_shift,42,flatness,0.013086169672787484,0.17512329567665536,0.04506877377812392,0.1868817302699576,0.0,0.0,0.0,0.0,0.00826446280948347,0.012987012987012988
ETTh1,nlinear,24,first,level_shift,42,hybrid_rankmax,0.6637931034482759,0.9940711462450593,0.7979274611394168,1.0,0.7613636363631442,0.8701298701298701,0.7031963470315076,1.0,0.48427672955938134,1.0
ETTh1,nlinear,24,first,level_shift,2024,residual,1.0000000000000002,1.0,0.9999999999995,8.736937660620548,0.8072289156621691,1.0,0.6733668341704075,1.0,0.44966442952985275,1.0
ETTh1,nlinear,24,first,level_shift,2024,flatness,0.01228603790139617,0.2237810643659544,0.03916983338201363,0.16722421952315056,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,hybrid_rankmax,0.6320754716981132,0.9940891179145196,0.7745664739879646,1.0,0.7547169811315878,0.8955223880597015,0.6733668341704075,1.0,0.44966442952985275,1.0
ETTh1,nlinear,24,first,level_shift,3407,residual,0.9999999999999999,1.0,0.9999999999995,8.043287260620549,0.8315789473679353,1.0,0.7085201793717398,1.0,0.4906832298132943,1.0
ETTh1,nlinear,24,first,level_shift,3407,flatness,0.019759138462223578,0.34923923550003283,0.06060606060589901,2.1340631830654675,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,hybrid_rankmax,0.6694915254237288,0.9940675387891694,0.8020304568523114,1.0,0.7386363636358688,0.8227848101265823,0.7085201793717398,1.0,0.4906832298132943,1.0
ETTh1,nlinear,24,first,frozen,42,residual,0.06995178375739827,0.6967459418052304,0.19213973799082001,1.5059629999999995,0.03603603603561107,0.025974025974025976,0.06802721088385487,0.06493506493506493,0.17424242424201108,0.2987012987012987
ETTh1,nlinear,24,first,frozen,42,flatness,0.22425663048886507,0.7486860965121835,0.4489795918362358,7.353887132356208,0.40875912408709897,0.36363636363636365,0.40449438202198096,0.4675324675324675,0.2846975088963993,0.5194805194805194
ETTh1,nlinear,24,first,frozen,42,hybrid_rankmax,0.15974225454601548,0.7712583858828919,0.31999999999957374,0.9858199753390875,0.25599999999952694,0.2077922077922078,0.2249999999995007,0.23376623376623376,0.2968197879854696,0.5454545454545454
ETTh1,nlinear,24,first,frozen,2024,residual,0.07890512013964943,0.7060122244189782,0.1603375527422105,1.4338083,0.09615384615338776,0.07462686567164178,0.1007194244599323,0.1044776119402985,0.15199999999960767,0.2835820895522388
ETTh1,nlinear,24,first,frozen,2024,flatness,0.20958050565986003,0.813597969533961,0.40650406504015446,10.278684345163915,0.40322580645111616,0.373134328358209,0.3703703703698853,0.44776119402985076,0.2366412213736651,0.4626865671641791
ETTh1,nlinear,24,first,frozen,2024,hybrid_rankmax,0.15688219572227027,0.7792705161672691,0.2978723404250332,0.9981504315659679,0.27826086956473106,0.23880597014925373,0.2745098039210763,0.31343283582089554,0.2631578947364652,0.5223880597014925
ETTh1,nlinear,24,first,frozen,3407,residual,0.03886931039916908,0.608330477177065,0.09774436090183805,1.3700561000000002,0.03539823008807487,0.02531645569620253,0.027397260273475978,0.02531645569620253,0.08661417322791788,0.13924050632911392
ETTh1,nlinear,24,first,frozen,3407,flatness,0.27681324037178107,0.799582551901815,0.4666666666661681,7.359022673168681,0.4475524475519531,0.4050632911392405,0.39999999999950747,0.45569620253164556,0.2642857142853092,0.46835443037974683
ETTh1,nlinear,24,first,frozen,3407,hybrid_rankmax,0.23069736021921824,0.8512244245647411,0.40522875816943515,1.0,0.34328358208906823,0.2911392405063291,0.3728813559317091,0.4177215189873418,0.2826855123670887,0.5063291139240507
ETTh1,nlinear,24,mean,spike,42,residual,0.9862888526854233,0.9997162563296664,0.9503546099285781,7.850602520753857,0.8070175438591677,1.0,0.6764705882348464,1.0,0.4539473684207016,1.0
ETTh1,nlinear,24,mean,spike,42,flatness,0.013634785346059093,0.2891828182294395,0.04080408040800025,0.23328367117304533,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,mean,spike,42,hybrid_rankmax,0.45394736842105265,0.9874999999999999,0.624434389139842,1.0,0.5734265734260741,0.5942028985507246,0.629441624365027,0.8985507246376812,0.4539473684207016,1.0
ETTh1,nlinear,24,mean,spike,2024,residual,0.978260494648378,0.9995154531168151,0.9343065693425657,8.159364608253856,0.8070175438591677,1.0,0.6764705882348464,1.0,0.4539473684207016,1.0
ETTh1,nlinear,24,mean,spike,2024,flatness,0.013695191947442757,0.3011829928409289,0.04026845637579946,0.20532067168944682,0.0,0.0,0.0,0.0,0.008474576270772659,0.014492753623188406
ETTh1,nlinear,24,mean,spike,2024,hybrid_rankmax,0.45394736842105265,0.9875,0.624434389139842,1.0,0.3679999999995054,0.3333333333333333,0.4659090909086142,0.5942028985507246,0.4539473684207016,1.0
ETTh1,nlinear,24,mean,spike,3407,residual,0.9782268390396629,0.9995748977097614,0.9496402877692844,7.646853941587191,0.8047337278101699,1.0,0.6732673267322266,1.0,0.4503311258274656,1.0
ETTh1,nlinear,24,mean,spike,3407,flatness,0.014458195254922937,0.29206520006376535,0.03951191167921752,0.1770872861376344,0.019607843136810462,0.014705882352941176,0.014814814814314844,0.014705882352941176,0.008510638297461078,0.014705882352941176
ETTh1,nlinear,24,mean,spike,3407,hybrid_rankmax,0.4892086330935252,0.9893104486600421,0.6570048309174331,1.0,0.33057851239620195,0.29411764705882354,0.6256410256405714,0.8970588235294118,0.4503311258274656,1.0
ETTh1,nlinear,24,mean,level_shift,42,residual,0.987976122676544,0.9997333584290107,0.9620253164551964,7.323807872420524,0.8235294117642213,1.0,0.699999999999545,1.0,0.48275862068928893,1.0
ETTh1,nlinear,24,mean,level_shift,42,flatness,0.012147529000007788,0.11390692640692641,0.04462474645026063,0.17855407975722998,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,mean,level_shift,42,hybrid_rankmax,0.48125,0.987469806763285,0.6497890295354263,1.0,0.2945736434103715,0.24675324675324675,0.5980392156858045,0.7922077922077922,0.48275862068928893,1.0
ETTh1,nlinear,24,mean,level_shift,2024,residual,0.9999999999999998,1.0,0.9999999999995,9.235958295753857,0.8490566037730962,1.0,0.7346938775505556,1.0,0.523255813953102,1.0
ETTh1,nlinear,24,mean,level_shift,2024,flatness,0.017013135925222623,0.2282880334107979,0.05191808479948793,0.16847076317214718,0.016260162601233395,0.011111111111111112,0.025477707005880156,0.022222222222222223,0.02334630350149041,0.03333333333333333
ETTh1,nlinear,24,mean,level_shift,2024,hybrid_rankmax,0.5202312138728323,0.9874204304334647,0.6844106463873825,1.0,0.45569620253115534,0.4,0.6808510638293146,0.8888888888888888,0.523255813953102,1.0
ETTh1,nlinear,24,mean,level_shift,3407,residual,0.9982400749966952,0.9999579333817737,0.9813664596268293,8.55634440408719,0.8272251308895673,1.0,0.7053571428566862,1.0,0.489164086686937,1.0
ETTh1,nlinear,24,mean,level_shift,3407,flatness,0.014884650761330689,0.2587938353283108,0.04585026117232896,0.1968479391759858,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,mean,level_shift,3407,hybrid_rankmax,0.4876543209876543,0.9874622356495468,0.6556016597505966,1.0,0.48648648648598874,0.45569620253164556,0.6818181818177214,0.9493670886075949,0.489164086686937,1.0
ETTh1,nlinear,24,mean,frozen,42,residual,0.029655390625806806,0.5437252964426877,0.08368200836776407,3.119643833333331,0.0,0.0,0.02758620689605365,0.025974025974025976,0.07936507936465498,0.12987012987012986
ETTh1,nlinear,24,mean,frozen,42,flatness,0.19774231116830676,0.7876180281071585,0.39130434782559365,8.363546373037318,0.3703703703698803,0.3246753246753247,0.3563218390799664,0.4025974025974026,0.2589928057549951,0.4675324675324675
ETTh1,nlinear,24,mean,frozen,42,hybrid_rankmax,0.10617922649700856,0.7649476127736997,0.24799999999957376,0.98419452887538,0.13559322033852964,0.1038961038961039,0.18987341772101932,0.19480519480519481,0.22710622710582212,0.4025974025974026
ETTh1,nlinear,24,mean,frozen,2024,residual,0.01881272256234024,0.354134249435856,0.05181655747463515,0.06305000833333452,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,mean,frozen,2024,flatness,0.25574176334293863,0.8191034320164359,0.4363636363631405,7.455903646809111,0.40522875816945025,0.34444444444444444,0.37696335078484194,0.4,0.27796610169449126,0.45555555555555555
ETTh1,nlinear,24,mean,frozen,2024,hybrid_rankmax,0.12675855188325585,0.7001650331750362,0.28846153846104755,1.0,0.12307692307649704,0.08888888888888889,0.14371257484980243,0.13333333333333333,0.2482758620685374,0.4
ETTh1,nlinear,24,mean,frozen,3407,residual,0.03062332622669711,0.5364029217178476,0.08182912154014083,1.8420177041666665,0.0,0.0,0.0,0.0,0.03225806451569487,0.05063291139240506
ETTh1,nlinear,24,mean,frozen,3407,flatness,0.3112809273234804,0.8717656506940993,0.5199999999995014,7.956221482898891,0.5165562913902294,0.4936708860759494,0.4408602150532748,0.5189873417721519,0.2877192982452133,0.5189873417721519
ETTh1,nlinear,24,mean,frozen,3407,hybrid_rankmax,0.15974411985760517,0.8492236796818233,0.3147208121822607,1.0,0.11764705882308314,0.08860759493670886,0.11688311688261722,0.11392405063291139,0.27561837455790145,0.4936708860759494
ETTh1,nlinear,24,max,spike,42,residual,0.9862888526854233,0.9997162563296664,0.9503546099285781,7.850602520753857,0.8070175438591677,1.0,0.6764705882348464,1.0,0.4539473684207016,1.0
ETTh1,nlinear,24,max,spike,42,flatness,0.013634785346059093,0.2891828182294395,0.04080408040800025,0.23328367117304533,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,max,spike,42,hybrid_rankmax,0.6694476346732294,0.9948642395669636,0.7928994082835404,1.0,0.7928994082835404,0.9710144927536232,0.6764705882348464,1.0,0.4539473684207016,1.0
ETTh1,nlinear,24,max,spike,2024,residual,0.978260494648378,0.9995154531168151,0.9343065693425657,8.159364608253856,0.8070175438591677,1.0,0.6764705882348464,1.0,0.4539473684207016,1.0
ETTh1,nlinear,24,max,spike,2024,flatness,0.013695191947442757,0.3011829928409289,0.04026845637579946,0.20532067168944682,0.0,0.0,0.0,0.0,0.008474576270772659,0.014492753623188406
ETTh1,nlinear,24,max,spike,2024,hybrid_rankmax,0.6565788860815468,0.9945106513008556,0.7710843373489117,1.0,0.7710843373489117,0.927536231884058,0.6764705882348464,1.0,0.4539473684207016,1.0
ETTh1,nlinear,24,max,spike,3407,residual,0.9782268390396629,0.9995748977097614,0.9496402877692844,7.646853941587191,0.8047337278101699,1.0,0.6732673267322266,1.0,0.4503311258274656,1.0
ETTh1,nlinear,24,max,spike,3407,flatness,0.014458195254922937,0.29206520006376535,0.03951191167921752,0.1770872861376344,0.019607843136810462,0.014705882352941176,0.014814814814314844,0.014705882352941176,0.008510638297461078,0.014705882352941176
ETTh1,nlinear,24,max,spike,3407,hybrid_rankmax,0.7572221167327501,0.996705457250651,0.851612903225314,1.0,0.8047337278101699,1.0,0.6732673267322266,1.0,0.4503311258274656,1.0
ETTh1,nlinear,24,max,level_shift,42,residual,0.987976122676544,0.9997333584290107,0.9620253164551964,7.323807872420524,0.8235294117642213,1.0,0.699999999999545,1.0,0.48275862068928893,1.0
ETTh1,nlinear,24,max,level_shift,42,flatness,0.012147529000007788,0.11390692640692641,0.04462474645026063,0.17855407975722998,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,max,level_shift,42,hybrid_rankmax,0.7,0.995018115942029,0.8235294117642213,1.0,0.8235294117642213,1.0,0.699999999999545,1.0,0.48275862068928893,1.0
ETTh1,nlinear,24,max,level_shift,2024,residual,0.9999999999999998,1.0,0.9999999999995,9.235958295753857,0.8490566037730962,1.0,0.7346938775505556,1.0,0.523255813953102,1.0
ETTh1,nlinear,24,max,level_shift,2024,flatness,0.017013135925222623,0.2282880334107979,0.05191808479948793,0.16847076317214718,0.016260162601233395,0.011111111111111112,0.025477707005880156,0.022222222222222223,0.02334630350149041,0.03333333333333333
ETTh1,nlinear,24,max,level_shift,2024,hybrid_rankmax,0.7317073170731707,0.9949984843892088,0.8450704225347232,1.0,0.8490566037730962,1.0,0.7346938775505556,1.0,0.523255813953102,1.0
ETTh1,nlinear,24,max,level_shift,3407,residual,0.9982400749966952,0.9999579333817737,0.9813664596268293,8.55634440408719,0.8272251308895673,1.0,0.7053571428566862,1.0,0.489164086686937,1.0
ETTh1,nlinear,24,max,level_shift,3407,flatness,0.014884650761330689,0.2587938353283108,0.04585026117232896,0.1968479391759858,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,max,level_shift,3407,hybrid_rankmax,0.7053571428571429,0.9950151057401813,0.8272251308895673,1.0,0.8272251308895673,1.0,0.7053571428566862,1.0,0.489164086686937,1.0
ETTh1,nlinear,24,max,frozen,42,residual,0.029655390625806806,0.5437252964426877,0.08368200836776407,3.119643833333331,0.0,0.0,0.02758620689605365,0.025974025974025976,0.07936507936465498,0.12987012987012986
ETTh1,nlinear,24,max,frozen,42,flatness,0.19774231116830676,0.7876180281071585,0.39130434782559365,8.363546373037318,0.3703703703698803,0.3246753246753247,0.3563218390799664,0.4025974025974026,0.2589928057549951,0.4675324675324675
ETTh1,nlinear,24,max,frozen,42,hybrid_rankmax,0.16128273073522734,0.7980915521676392,0.31055900621068105,0.98419452887538,0.2677165354325935,0.22077922077922077,0.2976190476185511,0.3246753246753247,0.23999999999959679,0.42857142857142855
ETTh1,nlinear,24,max,frozen,2024,residual,0.01881272256234024,0.354134249435856,0.05181655747463515,0.06305000833333452,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,24,max,frozen,2024,flatness,0.25574176334293863,0.8191034320164359,0.4363636363631405,7.455903646809111,0.40522875816945025,0.34444444444444444,0.37696335078484194,0.4,0.27796610169449126,0.45555555555555555
ETTh1,nlinear,24,max,frozen,2024,hybrid_rankmax,0.2166407253865879,0.7813916675086727,0.37974683544254767,1.0,0.35135135135087475,0.28888888888888886,0.34224598930431355,0.35555555555555557,0.27796610169449126,0.45555555555555555
ETTh1,nlinear,24,max,frozen,3407,residual,0.03062332622669711,0.5364029217178476,0.08182912154014083,1.8420177041666665,0.0,0.0,0.0,0.0,0.03225806451569487,0.05063291139240506
ETTh1,nlinear,24,max,frozen,3407,flatness,0.3112809273234804,0.8717656506940993,0.5199999999995014,7.956221482898891,0.5165562913902294,0.4936708860759494,0.4408602150532748,0.5189873417721519,0.2877192982452133,0.5189873417721519
ETTh1,nlinear,24,max,frozen,3407,hybrid_rankmax,0.26387790334749606,0.8747638533022296,0.42176870748249595,1.0,0.3030303030298225,0.25316455696202533,0.40659340659291526,0.46835443037974683,0.2877192982452133,0.5189873417721519
ETTh1,nlinear,96,first,spike,42,residual,1.0000000000000002,1.0,0.9999999999995,7.373093162657852,0.8072289156621691,1.0,0.6767676767672289,1.0,0.45423728813524217,1.0
ETTh1,nlinear,96,first,spike,42,flatness,0.014129654785029467,0.30267010161464136,0.040071770334888956,0.15941242181612394,0.0,0.0,0.015151515151015265,0.014925373134328358,0.00873362445373452,0.014925373134328358
ETTh1,nlinear,96,first,spike,42,hybrid_rankmax,0.638095238095238,0.9941121784939572,0.7790697674413848,1.0,0.605633802816403,0.6417910447761194,0.6767676767672289,1.0,0.45423728813524217,1.0
ETTh1,nlinear,96,first,spike,2024,residual,0.9997805092186131,0.9999953748456355,0.9925925925920926,4.609530062657852,0.8072289156621691,1.0,0.6767676767672289,1.0,0.45423728813524217,1.0
ETTh1,nlinear,96,first,spike,2024,flatness,0.014434079647583965,0.29737661244444036,0.04047838086472516,0.22374780270732317,0.0,0.0,0.0,0.0,0.017391304347413195,0.029850746268656716
ETTh1,nlinear,96,first,spike,2024,hybrid_rankmax,0.6504854368932039,0.9944220638363805,0.7882352941171694,1.0,0.688741721853811,0.7761194029850746,0.6767676767672289,1.0,0.45423728813524217,1.0
ETTh1,nlinear,96,first,spike,3407,residual,0.9999999999999998,1.0,0.9999999999995,9.03572636265785,0.8095238095233276,1.0,0.6799999999995512,1.0,0.45791245791210483,1.0
ETTh1,nlinear,96,first,spike,3407,flatness,0.01494861927760327,0.2876878122606761,0.0407918416316337,0.1934542822037436,0.019801980197579845,0.014705882352941176,0.01503759398446266,0.014705882352941176,0.017316017315601884,0.029411764705882353
ETTh1,nlinear,96,first,spike,3407,hybrid_rankmax,0.6868686868686869,0.9951952882827031,0.8143712574845471,1.0,0.8095238095233276,1.0,0.6799999999995512,1.0,0.45791245791210483,1.0
ETTh1,nlinear,96,first,level_shift,42,residual,1.0,1.0,0.9999999999995,8.300689462657854,0.8279569892468266,1.0,0.7064220183481669,1.0,0.4904458598722412,1.0
ETTh1,nlinear,96,first,level_shift,42,flatness,0.015027992830671775,0.19090142061854837,0.04587429252304127,0.1602287736177951,0.0,0.0,0.04166666666616907,0.03896103896103896,0.0249999999995642,0.03896103896103896
ETTh1,nlinear,96,first,level_shift,42,hybrid_rankmax,0.6695652173913044,0.9940938762822505,0.8020833333328529,1.0,0.7955801104967486,0.935064935064935,0.7064220183481669,1.0,0.4904458598722412,1.0
ETTh1,nlinear,96,first,level_shift,2024,residual,1.0000000000000002,1.0,0.9999999999995,7.717070362657852,0.8072289156621691,1.0,0.6767676767672289,1.0,0.45423728813524217,1.0
ETTh1,nlinear,96,first,level_shift,2024,flatness,0.011344839629008244,0.16381834243717885,0.04005979073239721,0.15510441633237643,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,96,first,level_shift,2024,hybrid_rankmax,0.638095238095238,0.9941121784939572,0.7790697674413848,1.0,0.7388535031842242,0.8656716417910447,0.6767676767672289,1.0,0.45423728813524217,1.0
ETTh1,nlinear,96,first,level_shift,3407,residual,0.9999999999999998,1.0,0.9999999999995,8.572319862657851,0.8315789473679353,1.0,0.7117117117112531,1.0,0.4968553459115762,1.0
ETTh1,nlinear,96,first,level_shift,3407,flatness,0.014177946298389327,0.21110301789475758,0.047009818506351,0.15623048680006818,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,96,first,level_shift,3407,hybrid_rankmax,0.6752136752136753,0.9940902021772939,0.8061224489791107,1.0,0.5859872611459968,0.5822784810126582,0.7117117117112531,1.0,0.4968553459115762,1.0
ETTh1,nlinear,96,first,frozen,42,residual,0.21422093012776341,0.7076973384091818,0.3898305084741228,2.6091233000000003,0.37313432835772004,0.3246753246753247,0.3214285714280749,0.35064935064935066,0.2637362637358588,0.4675324675324675
ETTh1,nlinear,96,first,frozen,42,flatness,0.14768589801498433,0.6283421272541572,0.33846153846105553,22.19395558036282,0.3358778625949353,0.2857142857142857,0.3012048192766111,0.3246753246753247,0.1977186311782931,0.33766233766233766
ETTh1,nlinear,96,first,frozen,42,hybrid_rankmax,0.2645216628975843,0.8232563209249564,0.45977011494203535,0.9987096774193548,0.29687499999952066,0.24675324675324675,0.45054945054896234,0.5324675324675324,0.3426573426569492,0.6363636363636364
ETTh1,nlinear,96,first,frozen,2024,residual,0.09956721168619313,0.7048596496908084,0.213953488371664,1.44188312,0.1834862385316364,0.14925373134328357,0.18055555555505798,0.19402985074626866,0.18326693227052498,0.34328358208955223
ETTh1,nlinear,96,first,frozen,2024,flatness,0.1872524552618789,0.759121960695438,0.3999999999995026,7.631995985844465,0.3770491803273737,0.34328358208955223,0.3312101910823133,0.3880597014925373,0.2256809338517546,0.43283582089552236
ETTh1,nlinear,96,first,frozen,2024,hybrid_rankmax,0.205436479286529,0.8076513928652369,0.3815789473679281,0.9987096774193548,0.2162162162157377,0.1791044776119403,0.3726708074529302,0.44776119402985076,0.28571428571390883,0.5671641791044776
ETTh1,nlinear,96,first,frozen,3407,residual,0.09545707025950292,0.5972951158532984,0.19209039547973175,1.6953914999999995,0.1652892561978939,0.12658227848101267,0.15483870967691957,0.1518987341772152,0.14728682170500149,0.24050632911392406
ETTh1,nlinear,96,first,frozen,3407,flatness,0.3293962091016727,0.876831308935567,0.5298013245028124,8.57372911791277,0.5298013245028124,0.5063291139240507,0.46236559139736083,0.5443037974683544,0.32867132867092885,0.5949367088607594
ETTh1,nlinear,96,first,frozen,3407,hybrid_rankmax,0.332215045428742,0.8865956650983327,0.4874999999995001,1.0,0.5100671140934615,0.4810126582278481,0.45405405405356475,0.5316455696202531,0.3851351351347438,0.7215189873417721
ETTh1,nlinear,96,mean,spike,42,residual,0.9263083371809697,0.9974899598393574,0.8611111111106119,7.465306967628857,0.7857142857138015,0.9565217391304348,0.6633663366332135,0.9710144927536232,0.4488448844880971,0.9855072463768116
ETTh1,nlinear,96,mean,spike,42,flatness,0.013634785346059093,0.2891828182294395,0.04080408040800025,0.23328367117304533,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,96,mean,spike,42,hybrid_rankmax,0.5665280188581208,0.9908547232407893,0.7045454545449779,1.0,0.6399999999995031,0.6956521739130435,0.6567164179099968,0.9565217391304348,0.4488448844880971,0.9855072463768116
ETTh1,nlinear,96,mean,spike,2024,residual,0.9016306599274491,0.9968482626156802,0.8531468531463536,7.470661164503858,0.7710843373489117,0.927536231884058,0.6499999999995479,0.9420289855072463,0.4539473684207016,1.0
ETTh1,nlinear,96,mean,spike,2024,flatness,0.013695191947442757,0.3011829928409289,0.04026845637579946,0.20532067168944682,0.0,0.0,0.0,0.0,0.008474576270772659,0.014492753623188406
ETTh1,nlinear,96,mean,spike,2024,hybrid_rankmax,0.5648155100285265,0.9904618473895582,0.7150837988822077,1.0,0.6490066225160599,0.7101449275362319,0.6499999999995479,0.9420289855072463,0.4437086092711706,0.9710144927536232
ETTh1,nlinear,96,mean,spike,3407,residual,0.8940115583465438,0.9967098853995077,0.8099173553714084,9.072173903253859,0.7374999999995112,0.8676470588235294,0.6532663316578415,0.9558823529411765,0.4503311258274656,1.0
