dataset,model,horizon,aggregation_method,anomaly_type,magnitude_scale,injection_seed,detector_type,threshold_method,precision,recall,f1,false_positive_rate
ETTh1,nlinear,24,first,spike,1.0,42,residual,percentile,0.4701492537313433,0.9402985074626866,0.626865671641791,0.021521673234313428
ETTh1,nlinear,24,first,spike,1.0,42,raw_zscore,percentile,0.027237354085603113,0.417910447761194,0.05114155251141552,0.30312215822976657
ETTh1,nlinear,24,first,spike,1.0,42,diff_score,percentile,0.2748091603053435,0.5373134328358209,0.36363636363636365,0.028796605031827828
ETTh1,nlinear,24,first,spike,1.0,42,rolling_zscore,percentile,0.2826086956521739,0.19402985074626866,0.23008849557522124,0.010003031221582298
ETTh1,nlinear,24,first,spike,1.0,2024,residual,percentile,0.45517241379310347,0.9850746268656716,0.6226415094339622,0.023946650500151562
ETTh1,nlinear,24,first,spike,1.0,2024,raw_zscore,percentile,0.024390243902439025,0.373134328358209,0.04578754578754579,0.30312215822976657
ETTh1,nlinear,24,first,spike,1.0,2024,diff_score,percentile,0.23703703703703705,0.47761194029850745,0.3168316831683169,0.03122158229766596
ETTh1,nlinear,24,first,spike,1.0,2024,rolling_zscore,percentile,0.2619047619047619,0.16417910447761194,0.2018348623853211,0.009396786905122764
ETTh1,nlinear,24,first,spike,1.0,3407,residual,percentile,0.4557823129251701,0.9852941176470589,0.6232558139534884,0.02425712553062462
ETTh1,nlinear,24,first,spike,1.0,3407,raw_zscore,percentile,0.014734774066797643,0.22058823529411764,0.027624309392265196,0.30412371134020616
ETTh1,nlinear,24,first,spike,1.0,3407,diff_score,percentile,0.24285714285714285,0.5,0.3269230769230769,0.03214069132807762
ETTh1,nlinear,24,first,spike,1.0,3407,rolling_zscore,percentile,0.34782608695652173,0.23529411764705882,0.28070175438596484,0.009096422073984234
ETTh1,nlinear,24,first,spike,2.0,42,residual,percentile,0.4855072463768116,1.0,0.6536585365853659,0.021521673234313428
ETTh1,nlinear,24,first,spike,2.0,42,raw_zscore,percentile,0.03474903474903475,0.5373134328358209,0.06527651858567542,0.30312215822976657
ETTh1,nlinear,24,first,spike,2.0,42,diff_score,percentile,0.2781954887218045,0.5522388059701493,0.36999999999999994,0.029099727190057594
