dataset,model,horizon,input_type,num_runs,mean_mae,mean_rmse,mean_wape,total_parameters,rank_within_dataset
ETTm1,dlinear,96,multivariate,1,1.3772549629211426,1.8880088928546632,17.738046646118164,129216,1
ETTm1,linear,96,multivariate,1,1.4139647483825684,1.9219868945291223,18.21084213256836,64608,2
ETTm1,naive,96,multivariate,1,1.423370361328125,1.94125586681376,18.33197975158691,0,3
ETTm1,nlinear,96,multivariate,1,1.456680178642273,1.945765369815793,18.760986328125,64608,4
ETTm1,transformer,96,multivariate,1,1.475782036781311,1.8953258617713191,19.00700569152832,73696,5
ETTm2,nlinear,96,multivariate,1,2.692509889602661,3.9216054390600705,10.283385276794434,64608,1
ETTm2,linear,96,multivariate,1,2.7081570625305176,3.909116379975452,10.343146324157717,64608,2
ETTm2,dlinear,96,multivariate,1,2.833787441253662,4.007086437110827,10.82296085357666,129216,3
ETTm2,transformer,96,multivariate,1,3.268057107925415,4.541303754299899,12.481548309326172,73696,4
ETTm2,naive,96,multivariate,1,4.852390289306641,6.433481388002564,18.53252220153809,0,5
